FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3150	THROUGHPUT_CLASS_1:	296139.12	THROUGHPUT_CLASS_2:	36006.95	CLOCK_1:	103648692.0	CLOCK_2	113421892.5
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3150	THROUGHPUT_CLASS_1:	221011.95	THROUGHPUT_CLASS_2:	220547.74	CLOCK_1:	77354182.5	CLOCK_2	694725381.0
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3150	THROUGHPUT_CLASS_1:	314634.16	THROUGHPUT_CLASS_2:	45480.88	CLOCK_1:	110121956.0	CLOCK_2	143264772.0
FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3500	THROUGHPUT_CLASS_1:	288203.92	THROUGHPUT_CLASS_2:	31536.73	CLOCK_1:	100871372.0	CLOCK_2	110378555.0
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3500	THROUGHPUT_CLASS_1:	209281.70	THROUGHPUT_CLASS_2:	209257.26	CLOCK_1:	73248595.0	CLOCK_2	732400410.0
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3500	THROUGHPUT_CLASS_1:	313809.50	THROUGHPUT_CLASS_2:	43714.94	CLOCK_1:	109833325.0	CLOCK_2	153002290.0
FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3850	THROUGHPUT_CLASS_1:	281012.29	THROUGHPUT_CLASS_2:	27384.50	CLOCK_1:	98354301.5	CLOCK_2	105430325.0
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3850	THROUGHPUT_CLASS_1:	198084.57	THROUGHPUT_CLASS_2:	197689.44	CLOCK_1:	69329599.5	CLOCK_2	761104344.0
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:3850	THROUGHPUT_CLASS_1:	310795.21	THROUGHPUT_CLASS_2:	37112.34	CLOCK_1:	108778323.5	CLOCK_2	142882509.0
FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4200	THROUGHPUT_CLASS_1:	266117.56	THROUGHPUT_CLASS_2:	22702.13	CLOCK_1:	93141146.0	CLOCK_2	95348946.0
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4200	THROUGHPUT_CLASS_1:	187885.57	THROUGHPUT_CLASS_2:	187897.76	CLOCK_1:	65759949.5	CLOCK_2	789170592.0
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4200	THROUGHPUT_CLASS_1:	313903.01	THROUGHPUT_CLASS_2:	28806.97	CLOCK_1:	109866053.5	CLOCK_2	120989274.0
FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4550	THROUGHPUT_CLASS_1:	275456.14	THROUGHPUT_CLASS_2:	22392.02	CLOCK_1:	96409649.0	CLOCK_2	101883691.0
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4550	THROUGHPUT_CLASS_1:	179408.65	THROUGHPUT_CLASS_2:	179397.79	CLOCK_1:	62793027.5	CLOCK_2	816259944.5
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4550	THROUGHPUT_CLASS_1:	327070.07	THROUGHPUT_CLASS_2:	26796.17	CLOCK_1:	114474524.5	CLOCK_2	121922573.5
FAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4900	THROUGHPUT_CLASS_1:	295110.45	THROUGHPUT_CLASS_2:	23353.07	CLOCK_1:	103288657.5	CLOCK_2	114430043.0
NOFAIRDROP	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4900	THROUGHPUT_CLASS_1:	170853.24	THROUGHPUT_CLASS_2:	170510.87	CLOCK_1:	59798634.0	CLOCK_2	835503263.0
FAIRDROPLOL	CLASS_1_WEIGHT:350	CLASS_2_WEIGHT:4900	THROUGHPUT_CLASS_1:	322663.12	THROUGHPUT_CLASS_2:	26289.97	CLOCK_1:	112932092.0	CLOCK_2	128820853.0
