1770 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
1787 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
1792 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
1808 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
1828 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
1845 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
1891 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
1892 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
1919 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
1923 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
1948 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
1969 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
1984 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
1996 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
1999 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2034 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
2068 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
2094 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
2134 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
2136 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
2160 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
2180 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
2219 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
2275 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
2303 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
2356 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
2422 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
2424 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
2427 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
2438 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
2456 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
2457 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
2460 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
2481 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2483 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2514 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2517 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2526 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2538 Flow Hash:  288202510 Flow Vqueue:  4800 Flow Cost:  480
2629 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
2639 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
2648 Flow Hash:  288202510 Flow Vqueue:  1440 Flow Cost:  480
2684 Flow Hash:  288202510 Flow Vqueue:  1920 Flow Cost:  480
2694 Flow Hash:  288202510 Flow Vqueue:  2400 Flow Cost:  480
2746 Flow Hash:  288202510 Flow Vqueue:  2880 Flow Cost:  480
2750 Flow Hash:  288202510 Flow Vqueue:  3360 Flow Cost:  480
2784 Flow Hash:  288202510 Flow Vqueue:  3840 Flow Cost:  480
2796 Flow Hash:  288202510 Flow Vqueue:  4320 Flow Cost:  480
2846 Flow Hash:  288202510 Flow Vqueue:  480 Flow Cost:  480
2855 Flow Hash:  288202510 Flow Vqueue:  960 Flow Cost:  480
