ALPHA	IP4			IP6			PerPacketIP4		PerPacketIP6
0.1	567805908.840424	621090795.159576	310.078544863401	379.20293253774
0.2	1105450551.59007	1281794940.40993	270.309330744819	374.685161616843
0.3	1618382902.254		1819781397.746		240.526694562053	302.295344764571
0.4	2148597246.58905	2430722897.41095	210.662836432643	265.441408885881
0.5	2670892959.24095	3027116156.75905	212.954699366711	267.605873025934
0.6	3204148491.09507	3656564720.90493	206.103632587968	263.79731266285
0.7	3741247469.31188	4262105494.68812	203.08225298542		260.900162534459
0.9	4873257705.44439	5524291486.55561	200.3626856112		257.982848994486
1.0	7005396220.36759	8874871971.63241	194.227217642109	249.935162972396
