TenGigabitEthernet84/0/1-outpu   active             338765        47686323               0    431126064.00          140.77
TenGigabitEthernet84/0/1-tx      active             338765        47686323               0   3718244784.00          140.77
dpdk-input                       polling            693596        86724974               0  11953034056.00          125.04
error-drop                       active             290109        39038651               0   1464224056.00          134.57
interface-output                 active             208562        13313628               0    219805400.00           63.84
ip4-input-no-checksum            active             178864        34372695               0   1004927556.00          192.17
ip4-load-balance                 active             178864        34372695               0    662956240.00          192.17
ip4-lookup                       active             178864        34372695               0   1004104928.00          192.17
ip4-rewrite                      active             178864        34372695               0   1017516204.00          192.17
ip6-input                        active             208562        13313628               0    516081612.00           63.84
ip6-lookup                       active             208562        13313628               0   3816677472.00           63.84
ip6-rewrite                      active             208562        13313628               0    562022572.00           63.84

