TenGigabitEthernet84/0/1-outpu   active             259872        66512305               0    522587300.00          255.94
TenGigabitEthernet84/0/1-tx      active             259872        66512305               0   5004114200.00          255.94
dpdk-input                       polling            615922        66527085               0   9220085780.00          108.01
error-drop                       active                 77           14780               0       571656.00          191.95
interface-output                 active             259872        16585278               0    253848648.00           63.82
ip4-input-no-checksum            active             259795        49927027               0   1424132312.00          192.18
ip4-load-balance                 active             259795        49927027               0    947597335.99          192.18
ip4-lookup                       active             259795        49927027               0   1428428604.00          192.18
ip4-rewrite                      active             259795        49927027               0   1475689604.00          192.18
ip6-input                        active             259872        16585278               0    622895328.00           63.82
ip6-lookup                       active             259872        16585278               0   4759327172.00           63.82
ip6-rewrite                      active             259872        16585278               0    710156200.00           63.82

