TenGigabitEthernet84/0/1-outpu   active             328613        45016095               0    404932196.00          136.99
TenGigabitEthernet84/0/1-tx      active             328613        45016095               0   3518151496.00          136.99
dpdk-input                       polling            724607        90723951               0  12437131008.00          125.20
error-drop                       active             318558        45707856               0   1692439072.00          143.48
interface-output                 active             194948        12448315               0    213637764.00           63.85
ip4-input-no-checksum            active             169498        32567780               0    953687464.00          192.14
ip4-load-balance                 active             169498        32567780               0    624123688.00          192.14
ip4-lookup                       active             169498        32567780               0    949116068.00          192.14
ip4-rewrite                      active             169498        32567780               0    974198932.00          192.14
ip6-input                        active             194948        12448315               0    493926052.00           63.85
ip6-lookup                       active             194948        12448315               0   3569262016.00           63.85
ip6-rewrite                      active             194948        12448315               0    537353648.00           63.85

